"year","road_type","road_nm","volume"
2019,"간선","경인로(서울교)",94686
2019,"간선","여의대방로(여의교)",91513
2019,"간선","양녕로(상도터널)",73358
2019,"간선","동작대로(총신대)",89433
2019,"간선","문성로(난곡터널)",17197
2019,"간선","남부순환로(낙성대역)",99614
2019,"간선","남부순환로(예술의전당)",93399
2019,"간선","강남대로(강남역-신분당)",59020
2019,"간선","사평대로(고속터미널역)",91268
2019,"간선","반포대로(서초역)",87227
2019,"간선","언주로(매봉터널)",62718
2019,"간선","남부순환로(수서IC)",102715
2019,"간선","헌릉로(세곡동사거리)",64788
2019,"간선","노들로",64810
2019,"간선","테헤란로(선릉역)",73987
2019,"간선","강남대로(신사역)",74310
2019,"간선","백제고분로(종합운동장)",38934
2019,"간선","송파대로(송파역)",79854
2020,"간선","진흥로(구기터널)",43895
2020,"간선","평창문화로(북악터널)",42455
2020,"간선","동호로(금호터널)",63672
2020,"간선","서빙고로(한남역)",86945
2020,"간선","천호대로(군자교)",83631
2020,"간선","뚝섬로(용비교)",66376
2020,"간선","동일로(군자교)",67793
2020,"간선","화랑로(상월곡역)",69489
2020,"간선","동소문로(길음교사거리)",57141
2020,"간선","화랑로(화랑대역)",67887
2020,"간선","도봉로(쌍문역)",44897
2020,"간선","동부간선도로(월계1교)",117986
2020,"간선","동일로(노원역)",38770
2020,"간선","증산로(디지털미디어시티역)",66189
2020,"간선","통일로(산골고개정류장)",66820
2020,"간선","성산로(연희IC)",75286
2020,"간선","연희로(연희IC)",35047
2020,"간선","남부순환도로(화곡로입구교차로)",72757
2020,"간선","남부순환로(신월IC)",109885
2020,"간선","강서로(화곡터널)",38216
2020,"간선","공항대로(발산역)",49224
2020,"간선","경인로(오류IC)",47896
2020,"간선","경인로(거리공원입구교차로)",51005
2020,"간선","시흥대로(시흥IC)",79212
2020,"간선","영등포로(오목교)",57983
2020,"간선","시흥대로(구로디지털단지역)",72929
2020,"간선","국회대로(여의2교)",58539
2020,"간선","경인로(서울교)",89962
2020,"간선","여의대방로(여의교)",85745
2020,"간선","양녕로(상도터널)",69640
2020,"간선","동작대로(총신대)",84243
2020,"간선","문성로(난곡터널)",16389
2020,"간선","남부순환로(낙성대역)",96252
2020,"간선","남부순환로(예술의전당)",88525
2020,"간선","강남대로(강남역-신분당)",55588
2020,"간선","사평대로(고속터미널역)",86362
2020,"간선","반포대로(서초역)",82973
2020,"간선","언주로(매봉터널)",59920
2020,"간선","남부순환로(수서IC)",97696
