year,sgis_si,sgis_gu,road_stts,road_len,road_area,road_rt
1994,서울시,도봉구,미포장,63980,-,
1994,서울시,노원구,미포장,75361,-,
1994,서울시,은평구,미포장,75911,-,
1994,서울시,서대문구,미포장,34514,-,
1994,서울시,마포구,미포장,3937,-,
1994,서울시,양천구,미포장,90904,-,
1994,서울시,강서구,미포장,61363,-,
1994,서울시,구로구,미포장,116430,-,
1994,서울시,영등포구,미포장,37808,-,
1994,서울시,동작구,미포장,53287,-,
1994,서울시,관악구,미포장,43001,-,
1994,서울시,서초구,미포장,5140,-,
1994,서울시,강남구,미포장,66974,-,
1994,서울시,송파구,미포장,17117,-,
1994,서울시,강동구,미포장,69690,-,
1994,서울시,소계,포장,6498988,-,
1994,서울시,종로구,포장,245786,-,
1994,서울시,중구,포장,98271,-,
1994,서울시,용산구,포장,266084,-,
1994,서울시,성동구,포장,631622,-,
1994,서울시,동대문구,포장,271036,-,
1994,서울시,중랑구,포장,224558,-,
1994,서울시,성북구,포장,463191,-,
1994,서울시,도봉구,포장,405229,-,
1994,서울시,노원구,포장,167181,-,
1994,서울시,은평구,포장,246485,-,
1994,서울시,서대문구,포장,251868,-,
1994,서울시,마포구,포장,373338,-,
1994,서울시,양천구,포장,294720,-,
1994,서울시,강서구,포장,278635,-,
1994,서울시,구로구,포장,310800,-,
1994,서울시,영등포구,포장,334373,-,
1994,서울시,동작구,포장,164009,-,
1994,서울시,관악구,포장,261586,-,
1994,서울시,서초구,포장,328324,-,
1994,서울시,강남구,포장,347561,-,
1994,서울시,송파구,포장,331872,-,
1994,서울시,강동구,포장,202459,-,
1995,서울시,소계,계,7674674,-,
1995,서울시,종로구,계,253160,-,
1995,서울시,중구,계,99006,-,
1995,서울시,용산구,계,271186,-,
1995,서울시,성동구,계,389571,-,
1995,서울시,광진구,계,314084,-,
1995,서울시,동대문구,계,303179,-,
1995,서울시,중랑구,계,293559,-,
1995,서울시,성북구,계,595650,-,
1995,서울시,강북구,계,216527,-,
1995,서울시,도봉구,계,258829,-,
1995,서울시,노원구,계,249464,-,
1995,서울시,은평구,계,322749,-,
1995,서울시,서대문구,계,290008,-,
1995,서울시,마포구,계,381030,-,
1995,서울시,양천구,계,385774,-,
1995,서울시,강서구,계,349772,-,
1995,서울시,구로구,계,260351,-,
1995,서울시,금천구,계,168558,-,
1995,서울시,영등포구,계,373455,-,
1995,서울시,동작구,계,218855,-,
1995,서울시,관악구,계,305388,-,
1995,서울시,서초구,계,336604,-,
1995,서울시,강남구,계,415109,-,
1995,서울시,송파구,계,349337,-,
1995,서울시,강동구,계,273469,-,
1995,서울시,소계,미포장,1122617,-,
1995,서울시,종로구,미포장,5957,-,
1995,서울시,성동구,미포장,46630,-,
1995,서울시,광진구,미포장,23072,-,
1995,서울시,동대문구,미포장,31498,-,
1995,서울시,중랑구,미포장,68242,-,
1995,서울시,성북구,미포장,131801,-,
1995,서울시,강북구,미포장,28607,-,
1995,서울시,도봉구,미포장,35373,-,
1995,서울시,노원구,미포장,75361,-,
1995,서울시,은평구,미포장,75911,-,
1995,서울시,서대문구,미포장,34514,-,
1995,서울시,마포구,미포장,3937,-,
1995,서울시,양천구,미포장,90904,-,
1995,서울시,강서구,미포장,61363,-,
1995,서울시,구로구,미포장,86664,-,
1995,서울시,금천구,미포장,29766,-,
1995,서울시,영등포구,미포장,37808,-,
1995,서울시,동작구,미포장,53287,-,
1995,서울시,관악구,미포장,43001,-,
1995,서울시,서초구,미포장,5140,-,
1995,서울시,강남구,미포장,66974,-,
1995,서울시,송파구,미포장,17117,-,
1995,서울시,강동구,미포장,69690,-,
1995,서울시,소계,포장,6552057,-,
1995,서울시,종로구,포장,247203,-,
1995,서울시,중구,포장,99006,-,
1995,서울시,용산구,포장,271186,-,
1995,서울시,성동구,포장,342941,-,
1995,서울시,광진구,포장,291012,-,
1995,서울시,동대문구,포장,271681,-,
1995,서울시,중랑구,포장,225317,-,
