"year","gu_nm","key1","key2","lot_ct","area_total","jiga_total","jiga_avg"
2013,"강남구","용도지역","자연녹지지역",1416,4597772.4,2220429555500,482936
2013,"성동구","용도지역","자연녹지지역",660,1723681.5,759396858500,440567
2013,"노원구","용도지역","자연녹지지역",1983,4822849.8,2025253095270,419929
2013,"동작구","용도지역","자연녹지지역",666,2273212.1,943466731400,415037
2013,"종로구","용도지역","자연녹지지역",421,2976175.2,1214026773860,407915
2013,"영등포구","용도지역","자연녹지지역",1149,8853601.5,3516271733000,397157
2013,"양천구","용도지역","자연녹지지역",628,3047057.7,1202188912680,394541
2013,"마포구","용도지역","자연녹지지역",1965,7821538.9,2909555402900,371993
2013,"광진구","용도지역","자연녹지지역",625,3259546.5,1029564389100,315861
2013,"성북구","용도지역","자연녹지지역",655,829762.3,239939670900,289167
2013,"강북구","용도지역","자연녹지지역",174,338495.8,95653951700,282585
2013,"금천구","용도지역","자연녹지지역",200,996627.6,275408219330,276340
2013,"강동구","용도지역","자연녹지지역",906,3322237.8,824978155740,248320
2013,"관악구","용도지역","자연녹지지역",774,6637902.4,1605077734500,241805
2013,"도봉구","용도지역","자연녹지지역",629,1372705.5,323668967480,235789
2013,"동대문구","용도지역","자연녹지지역",164,370414,71223802000,192282
2013,"서대문구","용도지역","자연녹지지역",105,171781.5,25618031300,149131
2013,"중랑구","용도지역","자연녹지지역",979,2739517.5,374859441920,136834
2013,"강동구","용도지역","제1종일반주거지역",337,662969.5,1849643324800,2789937
2013,"강남구","용도지역","제1종일반주거지역",2490,3071047.1,7156577964600,2330338
2013,"송파구","용도지역","제1종일반주거지역",1341,1889879.4,3921563703100,2075034
2013,"용산구","용도지역","제1종일반주거지역",9530,3421683,6778554915500,1981059
2013,"종로구","용도지역","제1종일반주거지역",11256,4302274.3,8442331659300,1962295
2013,"서초구","용도지역","제1종일반주거지역",2184,3248087.3,5671562172230,1746124
2013,"마포구","용도지역","제1종일반주거지역",685,698656.5,1157566986900,1656847
2013,"광진구","용도지역","제1종일반주거지역",4437,2215245.7,3277740323400,1479628
2013,"노원구","용도지역","제1종일반주거지역",1141,1173421.7,1560173737000,1329593
2013,"중구","용도지역","제1종일반주거지역",3250,2777836.7,3606140166600,1298183
2013,"동대문구","용도지역","제1종일반주거지역",2047,2702268.3,3279070396600,1213451
2013,"성북구","용도지역","제1종일반주거지역",7637,5066864.3,6148345469400,1213442
2013,"양천구","용도지역","제1종일반주거지역",1570,1257933.8,1475533819900,1172982
2013,"중랑구","용도지역","제1종일반주거지역",1943,1060831.3,1048243226600,988134
2013,"서대문구","용도지역","제1종일반주거지역",5952,5900239.5,5616315531120,951879
2013,"영등포구","용도지역","제1종일반주거지역",250,487232.1,459968369600,944044
2013,"도봉구","용도지역","제1종일반주거지역",3121,1817628.3,1655312306700,910699
2013,"성동구","용도지역","제1종일반주거지역",1337,2205914.1,1888197130200,855970
2013,"동작구","용도지역","제1종일반주거지역",5256,3968625.9,3354156348440,845168
2013,"은평구","용도지역","제1종일반주거지역",4943,2964219.5,2414333142030,814492
2013,"구로구","용도지역","제1종일반주거지역",1519,1234793.8,921456302000,746243
2013,"관악구","용도지역","제1종일반주거지역",6809,4991717.6,3716461457500,744526
2013,"금천구","용도지역","제1종일반주거지역",2204,1666947.5,1217693929140,730493
2013,"강서구","용도지역","제1종일반주거지역",1952,2400448.1,1617040781100,673641
2013,"강북구","용도지역","제1종일반주거지역",4374,2937233.4,1704726773800,580385
2013,"용산구","용도지역","제1종전용주거지역",443,184990.7,936511475000,5062479
2013,"강남구","용도지역","제1종전용주거지역",1653,597489.3,1885809105000,3156222
2013,"서초구","용도지역","제1종전용주거지역",1991,582144.7,1744024610000,2995861
2013,"강동구","용도지역","제1종전용주거지역",143,39582,97705813000,2468441
