"year","key1","key2","speed"
2014,"요일별","목",25.3
2014,"요일별","금",24.5
2014,"요일별","토",25.3
2014,"요일별","일",29.1
2013,"요일별","월",26.2
2013,"요일별","화",25.9
2013,"요일별","수",26.1
2013,"요일별","목",26.1
2013,"요일별","금",25.4
2013,"요일별","토",26
2013,"요일별","일",29.4
2010,"요일별","월",21.7
2010,"요일별","화",21.6
2010,"요일별","수",21.6
2010,"요일별","목",21.7
2010,"요일별","금",21.1
2010,"요일별","토",21.8
2010,"요일별","일",25.3
2009,"요일별","월",22
2009,"요일별","화",22.1
2009,"요일별","수",22
2009,"요일별","목",21.8
2009,"요일별","금",21.4
2009,"요일별","토",22
2009,"요일별","일",25.7
2008,"요일별","월",22.2
2008,"요일별","화",22.1
2008,"요일별","수",22
2008,"요일별","목",22
2008,"요일별","금",21.6
2008,"요일별","토",22.3
2008,"요일별","일",25.6
2007,"요일별","월",21
2007,"요일별","화",21
2007,"요일별","수",21.1
2007,"요일별","목",21
2007,"요일별","금",20.5
2007,"요일별","토",21.1
2007,"요일별","일",24.8
2006,"요일별","월",20.8
2006,"요일별","화",20.8
2006,"요일별","수",20.9
2006,"요일별","목",20.8
2006,"요일별","금",20.3
2006,"요일별","토",20.8
2006,"요일별","일",24.5
2005,"요일별","월",20.9
2005,"요일별","화",21
2005,"요일별","수",21
2005,"요일별","목",21.1
2005,"요일별","금",20.4
2005,"요일별","토",21
2005,"요일별","일",24.7
2004,"요일별","월",20.4
2004,"요일별","화",20.6
2004,"요일별","수",20.6
2004,"요일별","목",20.6
2004,"요일별","금",20.2
2004,"요일별","토",20.4
2004,"요일별","일",24.4
1999,"시간대별","전일",25.4
1999,"시간대별","오전",25.5
1999,"시간대별","낮",26.7
1999,"시간대별","오후",24.2
2000,"시간대별","전일",22.9
2000,"시간대별","오전",22.6
2000,"시간대별","낮",25.6
2000,"시간대별","오후",21
2001,"시간대별","전일",21.7
2001,"시간대별","오전",22.5
2001,"시간대별","낮",22.8
2001,"시간대별","오후",19.1
