측정월,airpol_nm,volume
202007,아황산가스,0.002
202007,일산화탄소,0.4
202007,이산화질소,0.016
202007,미세먼지,21
202007,초미세먼지,13
202007,오존,0.031
202008,아황산가스,0.003
202008,일산화탄소,0.3
202008,이산화질소,0.014
202008,미세먼지,23
202008,초미세먼지,14
202008,오존,0.019
202009,아황산가스,0.003
202009,일산화탄소,0.4
202009,이산화질소,0.016
202009,미세먼지,19
202009,초미세먼지,11
202009,오존,0.028
202010,아황산가스,0.003
202010,일산화탄소,0.5
202010,이산화질소,0.025
202010,미세먼지,33
202010,초미세먼지,17
202010,오존,0.022
202011,아황산가스,0.003
202011,일산화탄소,0.6
202011,이산화질소,0.03
202011,미세먼지,42
202011,초미세먼지,24
202011,오존,0.015
202012,아황산가스,0.004
202012,일산화탄소,0.6
202012,이산화질소,0.032
202012,미세먼지,42
202012,초미세먼지,27
202012,오존,0.014
202101,아황산가스,0.004
202101,일산화탄소,0.6
202101,이산화질소,0.031
202101,미세먼지,38
202101,초미세먼지,21
202101,오존,0.015
202102,아황산가스,0.003
202102,일산화탄소,0.6
202102,이산화질소,0.03
202102,미세먼지,48
202102,초미세먼지,29
202102,오존,0.022
202103,아황산가스,0.003
202103,일산화탄소,0.5
202103,이산화질소,0.032
202103,미세먼지,67
202103,초미세먼지,32
202103,오존,0.025
202104,아황산가스,0.003
202104,일산화탄소,0.4
202104,이산화질소,0.022
202104,미세먼지,42
202104,초미세먼지,19
202104,오존,0.037
202105,아황산가스,0.003
202105,일산화탄소,0.4
202105,이산화질소,0.019
202105,미세먼지,61
202105,초미세먼지,20
202105,오존,0.036
202106,아황산가스,0.003
202106,일산화탄소,0.4
202106,이산화질소,0.018
202106,미세먼지,33
202106,초미세먼지,19
202106,오존,0.041
202107,아황산가스,0.003
202107,일산화탄소,0.3
202107,이산화질소,0.016
202107,미세먼지,24
202107,초미세먼지,15
202107,오존,0.038
202108,아황산가스,0.003
202108,일산화탄소,0.4
202108,이산화질소,0.015
202108,미세먼지,22
202108,초미세먼지,13
202108,오존,0.034
202109,아황산가스,0.003
202109,일산화탄소,0.4
202109,이산화질소,0.014
202109,미세먼지,15
202109,초미세먼지,7
202109,오존,0.031
202110,아황산가스,0.003
202110,일산화탄소,0.4
202110,이산화질소,0.022
202110,미세먼지,27
202110,초미세먼지,13
202110,오존,0.022
202111,아황산가스,0.003
202111,일산화탄소,0.6
202111,이산화질소,0.031
202111,미세먼지,45
202111,초미세먼지,26
202111,오존,0.018
202112,아황산가스,0.003
202112,일산화탄소,0.6
202112,이산화질소,0.031
202112,미세먼지,39
202112,초미세먼지,23
202112,오존,0.014
201000,아황산가스,
201000,일산화탄소,
201000,이산화질소,
201000,미세먼지,
201000,초미세먼지,
201000,오존,
201900,아황산가스,
201900,일산화탄소,
201900,이산화질소,
201900,미세먼지,
201900,초미세먼지,
201900,오존,
