atrb_se,dgm_nm
UQF110,경관지구
UQF132,경관지구
UQF142,경관지구
UQF143,경관지구
UQK151,보호지구
UQK153,보호지구
UQI100,방화지구
UQN160,개발진흥지구
UQN170,개발진흥지구
UQM120,취락지구
UQH130,고도지구
