"year","gu_nm","dstrct_nm","area"
2021,"금천구","개발진흥지구",0
2021,"금천구","특정용도제한지구",0
2021,"금천구","보호지구",0
2021,"금천구","복합용도지구",0
2021,"금천구","조례로정하는지구",0
2021,"영등포구","경관지구",3079906
2021,"영등포구","고도지구",1632603
2021,"영등포구","방화지구",79391
2021,"영등포구","방재지구",0
2021,"영등포구","취락지구",0
2021,"영등포구","개발진흥지구",387469
2021,"영등포구","특정용도제한지구",0
2021,"영등포구","보호지구",922500
2021,"영등포구","복합용도지구",0
2021,"영등포구","조례로정하는지구",0
2021,"동작구","경관지구",926966
2021,"동작구","고도지구",224266
2021,"동작구","방화지구",53131
2021,"동작구","방재지구",0
2021,"동작구","취락지구",0
2021,"동작구","개발진흥지구",0
2021,"동작구","특정용도제한지구",0
2021,"동작구","보호지구",0
2021,"동작구","복합용도지구",0
2021,"동작구","조례로정하는지구",0
2021,"관악구","경관지구",0
2021,"관악구","고도지구",0
2021,"관악구","방화지구",2804
2021,"관악구","방재지구",0
2021,"관악구","취락지구",0
2021,"관악구","개발진흥지구",0
2021,"관악구","특정용도제한지구",0
2021,"관악구","보호지구",0
2021,"관악구","복합용도지구",0
2021,"관악구","조례로정하는지구",0
2021,"서초구","경관지구",1324150
2021,"서초구","고도지구",113700
2021,"서초구","방화지구",0
2021,"서초구","방재지구",0
2021,"서초구","취락지구",117428
2021,"서초구","개발진흥지구",59822
2021,"서초구","특정용도제한지구",0
2021,"서초구","보호지구",0
2021,"서초구","복합용도지구",0
2021,"서초구","조례로정하는지구",0
2021,"강남구","경관지구",1554545
2021,"강남구","고도지구",0
2021,"강남구","방화지구",0
2021,"강남구","방재지구",0
2021,"강남구","취락지구",79755
2021,"강남구","개발진흥지구",0
2021,"강남구","특정용도제한지구",0
2021,"강남구","보호지구",0
2021,"강남구","복합용도지구",0
2021,"강남구","조례로정하는지구",0
2021,"송파구","경관지구",1533845
2021,"송파구","고도지구",0
2021,"송파구","방화지구",0
2021,"송파구","방재지구",0
2021,"송파구","취락지구",0
2021,"송파구","개발진흥지구",0
2021,"송파구","특정용도제한지구",0
2021,"송파구","보호지구",0
2021,"송파구","복합용도지구",0
2021,"송파구","조례로정하는지구",0
2021,"강동구","경관지구",994345
2021,"강동구","고도지구",0
2021,"강동구","방화지구",0
2021,"강동구","방재지구",0
2021,"강동구","취락지구",119820
2021,"강동구","개발진흥지구",0
2021,"강동구","특정용도제한지구",0
2021,"강동구","보호지구",0
2021,"강동구","복합용도지구",0
2021,"강동구","조례로정하는지구",0
2021,"노원구","경관지구",0
2021,"노원구","고도지구",0
2021,"노원구","방화지구",0
2021,"노원구","방재지구",0
2021,"노원구","취락지구",0
2021,"노원구","개발진흥지구",0
2021,"노원구","특정용도제한지구",0
2021,"노원구","보호지구",0
2021,"노원구","복합용도지구",0
2021,"노원구","조례로정하는지구",0
